attribute,stat_parity_diff,disparate_impact,equal_opp_diff,avg_odds_diff,fnr_diff,fpr_diff
race_p,0.15507757887644447,1.5521758867973026,-0.021349752373419517,-0.010689965515536413,0.021349752373419517,-3.017865765330758e-05
sex_p,0.07541667900910037,1.3104695400986273,-0.022480774902395577,-0.011218182992542491,0.02248077490239553,4.4408917310595964e-05
eth_p,0.1586855249268122,1.5725093644350556,-0.027841616606103965,-0.013936177194878038,0.02784161660610396,-3.0737783652109764e-05
